carat,cut,color,clarity,depth,table,price,x,y,z
1.59,Good,E,IF,57.4,65.0,8333,7.09,7.15,4.07
0.67,Premium,H,VS1,61.4,56.9,1903,4.55,4.55,2.79
3.27,Fair,F,VS2,63.3,58.9,17497,13.45,13.67,8.51
2.44,Fair,D,VVS1,62.3,66.5,8375,12.47,12.22,7.77
1.85,Good,F,SI2,58.7,59.7,9306,11.47,11.61,6.73
3.19,Premium,F,VVS1,58.7,67.6,10499,21.45,21.56,12.59
2.92,Premium,E,SI2,59.7,60.4,8523,18.4,18.6,10.98
2.73,Fair,G,I1,63.4,59.8,11015,14.16,14.41,8.98
0.95,Good,F,SI2,62.2,56.1,5614,4.59,4.63,2.85
3.4,Very Good,D,IF,56.1,61.9,16813,23.73,24.01,13.31
2.69,Ideal,G,VVS2,60.3,60.8,10413,13.79,13.95,8.32
0.29,Ideal,I,VVS2,56.4,56.1,1322,1.17,1.19,0.66
1.2,Ideal,E,VVS1,63.0,59.5,5455,7.95,7.85,5.01
2.66,Fair,H,VS2,62.6,51.7,14412,13.41,13.38,8.39
0.96,Fair,F,IF,57.6,53.6,6440,5.79,5.89,3.34
2.53,Premium,G,VS2,62.7,65.7,12867,14.36,14.53,9.0
1.89,Good,D,I1,61.6,67.5,8149,13.0,13.22,8.01
2.18,Fair,J,VS2,64.8,68.3,11186,13.64,13.49,8.84
2.6,Fair,D,SI1,58.2,50.6,12279,10.54,10.67,6.13
2.39,Very Good,J,SI2,59.3,61.7,10259,10.73,10.9,6.36
2.3,Ideal,I,SI1,61.8,52.9,7589,12.79,12.84,7.9
1.98,Ideal,G,SI2,57.4,60.2,7190,10.73,10.58,6.16
3.24,Very Good,H,VVS2,63.9,52.4,11437,14.16,13.98,9.05
1.88,Premium,G,VVS2,60.1,56.3,4710,8.67,8.81,5.21
3.07,Good,F,VVS2,56.7,67.4,18228,14.12,14.13,8.01
0.56,Premium,F,SI2,60.7,61.5,3146,3.0,3.05,1.82
1.48,Premium,H,VS1,59.9,50.0,9475,8.33,8.43,4.99
1.59,Good,D,VS1,58.7,66.0,6852,6.84,6.84,4.02
2.93,Ideal,H,SI1,61.1,64.4,11508,16.01,16.08,9.78
2.53,Ideal,E,SI2,57.5,51.1,9757,14.68,14.48,8.44
1.01,Good,H,VVS1,64.1,69.5,3717,4.54,4.46,2.91
0.34,Premium,G,VS2,60.5,57.8,2608,2.04,2.06,1.23
2.04,Good,I,VVS1,56.5,62.6,6006,12.23,12.38,6.91
1.92,Very Good,I,SI2,59.9,63.9,12487,11.27,11.31,6.75
2.93,Premium,H,VVS1,57.1,67.4,19717,14.34,14.55,8.19
1.83,Ideal,J,VVS1,56.2,57.9,7586,9.93,9.96,5.58
1.2,Good,E,SI2,55.0,54.6,4891,5.86,5.96,3.22
2.63,Premium,H,SI2,56.2,66.5,18150,16.29,16.11,9.15
1.48,Ideal,F,SI1,62.3,66.6,6040,7.96,8.06,4.96
1.46,Very Good,H,SI2,61.3,53.3,5794,6.49,6.5,3.98
0.64,Good,I,VVS2,63.3,63.8,3667,3.34,3.32,2.11
1.97,Fair,F,VS1,55.4,52.5,7556,12.94,12.87,7.17
2.14,Fair,I,VVS1,60.6,55.9,5836,11.02,10.95,6.68
2.05,Premium,D,VS1,60.1,58.6,6899,13.7,13.88,8.23
1.34,Fair,F,VS1,60.5,58.0,5956,8.09,8.25,4.89
1.63,Very Good,I,VS2,60.6,68.2,4744,9.32,9.2,5.65
2.5,Premium,I,VVS2,60.7,53.1,6178,15.81,15.9,9.6
1.52,Good,F,VS2,56.8,61.7,9731,9.53,9.52,5.41
1.33,Ideal,H,IF,57.2,51.5,7868,7.73,7.59,4.42
0.36,Fair,I,I1,60.6,50.7,2054,1.71,1.74,1.04
3.23,Ideal,D,IF,60.3,53.5,8641,16.54,16.49,9.97
2.79,Fair,I,VVS2,62.8,68.2,17959,18.36,18.4,11.53
1.27,Premium,G,VS2,57.4,59.2,7086,8.1,8.1,4.65
1.39,Very Good,E,VS2,63.1,58.4,3529,8.9,8.73,5.62
2.89,Premium,I,IF,60.3,69.2,11251,15.45,15.52,9.32
2.78,Good,H,VS1,57.5,61.5,7904,12.77,12.98,7.34
1.26,Good,F,VS2,62.4,64.6,6530,5.16,5.19,3.22
0.96,Very Good,F,VS2,61.1,55.5,6662,4.98,5.02,3.04
2.81,Premium,J,SI2,56.4,65.8,11405,15.76,15.73,8.89
0.99,Premium,D,VS1,64.5,59.3,3304,4.39,4.35,2.83
0.5,Very Good,E,VVS1,59.2,57.7,3207,2.95,2.91,1.75
0.96,Fair,G,VS2,64.4,64.9,4840,5.24,5.3,3.37
3.45,Very Good,E,VS2,55.1,66.2,10592,16.21,16.1,8.93
3.21,Fair,F,VVS2,57.1,58.3,17422,20.86,20.48,11.91
2.62,Fair,I,SI1,57.3,50.6,16686,16.76,16.8,9.6
1.84,Ideal,I,IF,61.8,62.6,11666,11.27,11.21,6.96
1.27,Very Good,F,VVS2,55.8,55.5,6894,7.73,7.66,4.31
2.14,Premium,F,VVS1,63.5,54.9,14399,13.92,13.97,8.84
0.72,Premium,H,IF,65.0,66.1,1946,4.38,4.36,2.85
1.11,Ideal,E,VS2,61.6,65.7,4739,6.09,6.02,3.75
2.24,Good,I,SI1,58.2,62.1,9368,13.4,13.56,7.8
3.32,Very Good,G,VVS2,64.3,51.7,23332,18.21,17.89,11.71
1.49,Ideal,G,SI2,62.3,59.2,8427,6.39,6.31,3.98
0.79,Fair,J,IF,59.3,53.5,4877,5.22,5.3,3.1
0.62,Premium,G,I1,57.2,53.7,3772,4.12,4.1,2.36
0.45,Fair,E,VS1,61.0,52.5,2877,2.28,2.25,1.39
0.23,Very Good,D,I1,64.7,66.8,1505,1.29,1.31,0.83
2.13,Fair,I,I1,58.3,55.2,6002,9.76,9.79,5.69
1.03,Fair,H,VVS2,58.7,53.3,5699,6.63,6.51,3.89
2.31,Very Good,G,SI1,58.4,63.9,14265,13.79,13.68,8.05
0.86,Very Good,G,VVS2,63.6,67.9,4611,5.09,5.09,3.24
3.24,Premium,H,I1,59.7,65.7,14340,17.32,17.64,10.34
0.75,Ideal,I,VS1,56.2,69.1,2084,4.43,4.35,2.49
2.64,Ideal,H,VVS1,61.7,54.4,8008,12.83,12.71,7.92
0.4,Good,E,VVS1,61.6,55.5,2180,2.04,2.03,1.26
1.01,Fair,G,VVS2,59.7,54.7,5796,6.33,6.39,3.78
2.53,Premium,D,VS2,56.4,69.7,13853,10.34,10.48,5.83
2.09,Ideal,D,VVS2,60.0,58.0,12863,13.78,13.74,8.27
0.85,Premium,F,VVS2,59.5,50.9,5022,5.2,5.24,3.09
1.71,Fair,H,VVS1,64.0,53.9,10032,10.52,10.58,6.73
2.79,Good,G,I1,55.8,68.2,9952,15.46,15.28,8.63
1.88,Premium,I,I1,58.2,51.3,6889,11.57,11.55,6.73
2.14,Good,F,VVS1,64.8,54.7,13072,10.02,10.19,6.49
2.44,Ideal,G,IF,61.4,57.0,12596,14.88,15.05,9.14
1.02,Very Good,F,VS2,55.7,64.2,6658,6.26,6.27,3.49
2.07,Fair,G,VVS2,62.5,66.7,6800,14.32,14.27,8.95
1.18,Good,J,SI1,64.6,52.1,6723,6.15,6.11,3.97
0.54,Premium,D,SI2,63.4,63.6,3393,2.65,2.7,1.68
0.54,Ideal,J,IF,63.6,53.5,1439,3.58,3.57,2.28
0.61,Very Good,D,IF,58.9,65.5,2281,3.69,3.62,2.17
0.44,Premium,H,VVS1,60.1,67.4,1673,3.06,3.03,1.84
2.17,Ideal,E,SI2,57.3,57.6,11722,11.19,11.41,6.41
1.1,Premium,G,VVS1,58.1,50.5,4562,7.13,7.1,4.14
2.66,Good,H,VS1,62.9,51.3,13297,17.61,17.94,11.08
1.99,Ideal,I,I1,58.9,64.9,9786,10.26,10.4,6.04
2.2,Good,E,VVS1,60.0,54.5,12997,9.96,9.93,5.98
2.27,Ideal,F,VVS2,64.9,58.3,13959,9.45,9.28,6.13
2.9,Good,E,VVS2,60.4,64.2,17729,16.36,16.31,9.88
3.28,Premium,J,VVS1,59.0,68.7,15044,19.32,19.36,11.4
2.89,Fair,H,SI2,63.3,60.3,11959,18.51,18.75,11.72
1.59,Ideal,E,VVS1,62.0,65.7,4966,6.97,6.93,4.32
1.86,Very Good,J,IF,56.5,61.0,10506,10.32,10.44,5.83
0.58,Good,H,SI1,60.9,55.3,3590,2.5,2.47,1.52
2.53,Fair,E,SI1,55.1,50.3,9361,14.83,14.59,8.17
2.2,Premium,D,SI2,62.7,50.7,9692,15.04,15.14,9.43
3.33,Very Good,I,I1,60.5,56.1,8397,13.96,14.1,8.45
0.36,Fair,J,VS2,56.9,58.7,1355,1.64,1.63,0.93
0.59,Premium,H,SI1,58.5,52.3,2027,2.56,2.51,1.5
1.31,Fair,I,VS1,64.7,60.4,3066,6.76,6.83,4.37
3.09,Good,F,VS1,64.8,68.3,12102,18.56,18.26,12.03
0.25,Ideal,G,I1,62.9,65.4,698,1.1,1.12,0.69
0.44,Very Good,J,SI1,59.8,60.7,2676,2.51,2.51,1.5
3.09,Very Good,J,SI1,57.7,69.2,18432,17.56,17.3,10.13
2.57,Ideal,H,SI1,60.7,56.3,17302,17.4,17.66,10.56
2.08,Fair,F,VS2,60.0,55.5,9270,8.36,8.38,5.02
2.87,Very Good,F,IF,57.9,63.9,17103,17.6,17.89,10.19
1.2,Ideal,J,VS1,60.2,59.5,7079,7.99,7.93,4.81
3.27,Ideal,G,VVS2,59.7,57.9,13795,14.85,14.7,8.87
0.89,Premium,G,SI1,64.9,56.6,3089,5.28,5.22,3.43
2.99,Fair,I,VS2,60.4,67.6,16565,12.88,12.93,7.78
0.83,Fair,H,I1,60.3,51.2,4747,4.89,4.84,2.95
0.86,Fair,G,SI1,63.7,54.9,5423,5.64,5.58,3.59
2.78,Ideal,D,SI1,57.4,50.2,10081,18.38,18.59,10.55
1.7,Premium,J,IF,61.3,59.4,4679,10.64,10.61,6.52
1.39,Ideal,D,VS2,56.9,64.1,7152,9.58,9.72,5.45
2.4,Good,I,VS2,64.7,69.0,10837,14.19,14.01,9.18
2.97,Very Good,I,VS2,56.4,69.6,15791,15.83,16.09,8.93
3.08,Fair,D,VVS2,61.8,51.6,15981,16.7,16.84,10.32
3.28,Good,G,VS2,58.2,63.3,9494,15.42,15.39,8.97
1.21,Good,D,VVS2,56.5,53.8,4490,8.38,8.25,4.73
1.2,Very Good,D,VVS2,57.4,60.6,6185,6.5,6.42,3.73
3.04,Good,I,I1,59.3,57.3,20073,14.26,13.98,8.46
2.51,Good,H,VVS1,64.3,57.2,10687,17.41,17.42,11.19
3.32,Fair,H,VS2,60.4,63.7,18603,18.17,17.88,10.97
2.57,Very Good,D,SI1,63.0,57.3,9068,13.67,13.71,8.61
0.28,Good,F,VVS2,64.5,57.7,974,1.61,1.61,1.04
2.35,Fair,I,VVS1,55.9,65.7,10964,9.79,9.89,5.47
0.23,Ideal,G,VVS1,56.7,50.6,1038,1.44,1.46,0.82
0.65,Fair,J,VVS1,59.2,50.6,2401,3.64,3.58,2.15
0.7,Good,I,IF,64.7,56.7,3087,4.77,4.8,3.09
2.21,Good,D,VVS2,61.1,66.4,7061,10.86,10.72,6.64
0.55,Ideal,J,IF,63.9,64.0,1799,3.42,3.43,2.19
2.14,Premium,I,VVS2,59.2,51.6,10197,14.77,14.54,8.74
0.72,Fair,F,SI1,55.9,52.4,4465,4.75,4.75,2.66
0.98,Very Good,J,SI1,62.5,67.5,4464,5.37,5.33,3.36
3.44,Fair,I,I1,64.3,59.5,21736,18.55,18.52,11.93
2.39,Very Good,D,I1,62.7,52.2,11715,15.05,14.83,9.44
0.46,Premium,D,VS1,58.9,60.9,3043,2.99,2.94,1.76
3.32,Fair,F,VVS1,61.1,53.0,15425,22.81,22.58,13.94
1.06,Good,E,VS2,62.3,55.3,5180,6.85,6.76,4.27
2.07,Good,E,I1,56.4,53.6,10006,14.48,14.39,8.17
0.9,Ideal,I,I1,62.8,53.8,4529,4.28,4.24,2.69
3.34,Ideal,F,VVS1,64.2,61.1,10183,15.12,15.35,9.71
0.92,Very Good,H,IF,58.8,60.9,5243,5.66,5.7,3.33
3.24,Ideal,J,IF,59.0,65.0,21959,20.7,20.44,12.21
1.04,Good,H,IF,56.6,63.9,6206,5.39,5.37,3.05
0.95,Very Good,E,VS1,62.4,63.9,4114,5.36,5.42,3.34
0.48,Ideal,D,VS1,62.8,56.0,2877,2.66,2.68,1.67
1.54,Premium,I,VS2,55.5,58.3,4624,6.77,6.88,3.76
1.57,Premium,G,VVS1,58.8,56.4,5401,7.86,7.86,4.62
3.44,Ideal,J,SI2,59.8,68.3,12052,20.57,20.9,12.3
0.59,Premium,I,VS1,57.3,50.4,2290,3.46,3.46,1.98
3.41,Very Good,H,VS2,62.7,63.3,17316,23.02,22.8,14.43
2.54,Ideal,I,SI1,61.1,60.9,6543,13.72,13.74,8.38
2.35,Fair,E,VS1,55.0,51.5,11856,9.87,9.79,5.43
1.6,Ideal,H,IF,63.8,65.4,7033,6.98,6.96,4.45
2.83,Fair,E,VS1,60.8,67.2,7756,18.19,17.97,11.06
0.48,Very Good,F,SI1,58.9,58.0,1710,2.14,2.12,1.26
0.4,Fair,H,SI2,59.4,68.4,2284,2.08,2.08,1.24
2.27,Ideal,J,VS2,62.5,64.6,12002,11.04,10.87,6.9
2.68,Ideal,J,I1,60.5,65.4,15055,12.38,12.13,7.49
2.53,Fair,G,VVS1,64.1,50.0,13102,15.09,15.12,9.67
2.04,Very Good,E,SI1,56.8,58.3,11913,11.91,11.97,6.76
0.83,Very Good,D,VS1,63.1,69.7,3944,4.17,4.09,2.63
1.74,Good,E,I1,58.8,65.6,8747,11.57,11.62,6.8
3.28,Ideal,J,IF,62.5,69.8,17073,21.77,22.12,13.61
3.0,Premium,E,SI2,60.5,57.0,12936,14.68,14.52,8.88
0.95,Good,D,VS1,56.5,63.6,5476,3.97,4.03,2.24
1.69,Very Good,D,SI2,56.8,55.4,6250,7.42,7.51,4.21
0.7,Ideal,E,VS2,57.1,62.7,2740,4.87,4.87,2.78
2.86,Fair,H,VVS2,59.2,64.5,10837,11.75,11.52,6.96
2.6,Ideal,H,SI1,58.8,50.9,9591,11.16,11.38,6.56
1.82,Fair,I,SI1,55.8,63.0,6801,8.13,8.25,4.54
3.04,Premium,F,VVS2,62.2,64.0,15694,16.34,16.51,10.16
2.6,Good,H,I1,59.8,53.5,13910,11.49,11.31,6.87
0.52,Good,J,SI1,58.9,55.0,3505,2.12,2.15,1.25
2.76,Very Good,J,I1,60.8,61.0,15036,15.61,15.44,9.49
2.04,Fair,G,SI1,62.4,56.7,7883,13.09,13.01,8.17
0.9,Ideal,H,IF,55.9,62.5,4298,4.91,4.82,2.74
0.76,Ideal,D,SI1,56.6,55.5,2316,5.08,5.04,2.88
2.78,Ideal,D,VVS1,55.7,61.0,19361,15.66,15.55,8.72
3.19,Ideal,H,VVS2,58.8,68.8,14968,21.65,21.64,12.73
2.96,Ideal,I,VS1,55.1,53.9,16295,18.02,17.84,9.93
2.18,Premium,F,VVS2,56.3,67.6,13203,12.64,12.61,7.12
1.13,Premium,E,VVS2,62.2,60.5,4782,6.88,6.99,4.28
2.37,Very Good,D,IF,55.3,61.4,8342,13.21,13.16,7.31
2.91,Very Good,D,I1,64.4,53.6,9433,14.83,15.07,9.55
3.28,Good,E,SI1,61.7,60.5,21458,15.82,15.72,9.76
0.25,Fair,H,VVS1,56.5,67.8,1072,1.7,1.67,0.96
1.5,Good,H,IF,64.1,56.1,5398,9.07,8.92,5.81
1.19,Ideal,G,I1,64.3,69.0,3254,7.96,8.01,5.12
2.79,Premium,G,VS2,63.0,53.4,13436,17.92,17.87,11.29
3.24,Ideal,E,VS1,58.3,60.8,20660,20.75,20.75,12.1
0.85,Premium,H,SI2,55.6,67.5,3570,5.51,5.56,3.06
2.94,Premium,J,I1,63.5,57.1,10607,14.45,14.72,9.18
1.91,Fair,J,VVS2,55.5,62.6,7258,8.96,9.03,4.97
3.32,Fair,I,VS2,56.8,51.1,20971,22.74,23.02,12.92
0.41,Fair,G,SI1,59.8,61.2,1864,2.36,2.38,1.41
2.13,Fair,J,SI2,60.9,69.4,10474,11.72,11.86,7.14
2.98,Very Good,G,IF,57.6,68.6,14285,13.56,13.64,7.81
0.4,Premium,I,IF,56.0,68.5,1898,2.33,2.29,1.3
1.85,Premium,F,VVS1,55.1,68.0,8111,10.86,10.76,5.98
2.82,Ideal,J,I1,64.9,57.5,16545,17.05,17.05,11.07
1.96,Good,J,VS2,57.2,66.9,5936,8.24,8.37,4.71
2.45,Ideal,D,I1,63.0,59.6,6310,10.14,10.16,6.39
1.23,Good,E,VVS2,59.1,53.1,4141,6.64,6.54,3.92
0.31,Ideal,F,SI2,62.1,65.4,1902,2.0,1.99,1.24
0.78,Good,J,SI1,64.0,53.6,2321,3.98,3.92,2.55
0.93,Very Good,I,SI2,58.4,51.1,5445,4.86,4.86,2.84
2.1,Premium,E,VS2,57.0,62.8,14182,14.49,14.63,8.26
1.51,Very Good,J,SI1,58.9,58.0,9830,8.79,8.93,5.18
1.56,Good,D,SI1,59.1,65.8,10101,10.57,10.63,6.25
2.44,Good,G,VS1,62.5,54.8,9085,15.51,15.46,9.69
2.44,Premium,J,VVS1,64.7,62.1,15192,13.32,13.18,8.62
0.67,Good,E,I1,60.5,57.0,2054,3.64,3.64,2.2
0.88,Fair,H,SI1,63.9,65.9,3928,4.4,4.44,2.81
1.51,Premium,D,VS1,62.7,52.3,9872,8.6,8.64,5.39
2.21,Premium,J,I1,56.9,57.0,7160,12.77,12.74,7.27
3.36,Fair,G,SI2,62.8,62.6,18438,15.73,15.63,9.88
1.8,Fair,J,I1,64.4,64.2,9723,12.27,12.03,7.9
2.21,Good,F,I1,63.6,65.0,11967,8.92,9.07,5.67
1.55,Fair,F,IF,58.2,50.9,8974,7.18,7.09,4.18
2.84,Ideal,D,VS2,64.6,57.3,12886,18.78,18.7,12.13
0.21,Fair,J,SI2,61.7,50.3,1324,1.02,1.02,0.63
2.25,Ideal,D,VVS1,61.8,57.2,13019,14.41,14.4,8.91
1.93,Fair,H,I1,62.9,61.4,7921,8.92,9.0,5.61
3.11,Good,H,VVS1,64.4,58.0,16080,18.42,18.44,11.86
2.49,Ideal,E,SI1,61.4,51.3,12559,13.18,13.36,8.09
2.62,Very Good,F,SI1,63.5,62.2,11355,13.85,13.92,8.79
3.18,Very Good,I,VVS1,65.0,55.5,15073,18.47,18.39,12.01
2.15,Ideal,G,VVS1,55.7,56.9,12254,12.05,11.93,6.71
2.22,Premium,D,IF,57.8,69.6,8793,12.38,12.49,7.16
1.62,Very Good,J,I1,58.0,63.5,6347,7.87,7.98,4.56
2.47,Good,H,VS2,55.4,59.2,10601,12.65,12.59,7.01
0.85,Fair,F,VVS1,62.1,52.8,2651,4.19,4.13,2.6
1.02,Fair,G,VS1,60.0,53.2,5648,5.29,5.36,3.17
1.18,Ideal,E,VVS1,60.2,52.4,6240,7.58,7.43,4.56
2.31,Fair,F,IF,55.3,53.3,15097,11.81,11.73,6.53
0.9,Premium,J,VS1,56.5,66.8,2268,5.11,5.02,2.89
2.52,Very Good,J,IF,55.5,67.8,13121,12.33,12.24,6.84
2.04,Very Good,H,VVS1,60.2,50.7,8713,13.86,14.02,8.34
0.85,Premium,E,VVS1,56.2,61.6,2531,4.86,4.95,2.73
1.28,Ideal,F,VS1,62.4,50.7,3691,7.66,7.73,4.78
2.05,Premium,J,SI2,62.6,57.5,13406,8.25,8.24,5.16
2.43,Ideal,D,VVS2,59.9,64.8,8034,16.02,15.86,9.6
0.68,Very Good,J,SI2,59.4,59.9,1669,2.91,2.87,1.73
2.58,Good,F,IF,57.3,57.8,17109,13.99,14.1,8.02
0.29,Premium,F,SI1,58.0,68.4,2022,1.78,1.8,1.03
0.83,Ideal,H,IF,61.7,58.1,4950,4.08,4.04,2.52
2.3,Good,I,I1,61.0,67.8,14890,11.72,11.62,7.15
1.35,Ideal,G,VS2,61.8,68.8,6844,5.57,5.46,3.44
0.21,Ideal,J,I1,58.0,58.0,1393,1.07,1.06,0.62
2.35,Good,D,VVS2,63.9,68.9,10781,12.21,12.29,7.8
2.56,Ideal,D,I1,64.9,54.7,14142,10.72,10.56,6.96
2.1,Very Good,E,SI1,63.5,56.8,9605,13.68,13.52,8.69
0.27,Ideal,D,I1,61.2,61.9,1698,1.52,1.54,0.93
2.49,Ideal,E,VS2,61.1,61.3,15113,13.21,13.1,8.07
2.85,Premium,D,SI1,63.3,56.0,11212,11.46,11.55,7.25
0.67,Very Good,J,VS1,56.2,62.8,4239,3.69,3.65,2.07
0.27,Premium,F,VVS1,64.1,55.5,1973,1.68,1.65,1.08
3.45,Very Good,E,IF,61.3,69.5,22502,23.49,23.79,14.4
1.23,Very Good,I,SI2,60.1,65.8,8618,7.54,7.43,4.53
3.5,Premium,G,VS1,55.1,50.2,22638,17.93,17.83,9.88
3.46,Very Good,I,VVS2,57.3,56.2,20805,22.81,22.91,13.07
1.2,Fair,E,VS1,61.5,60.1,6734,6.01,6.04,3.7
2.25,Ideal,I,VS2,62.3,62.2,8409,11.44,11.6,7.13
1.33,Good,F,SI2,63.7,51.4,6787,5.42,5.35,3.45
2.91,Very Good,G,SI1,61.4,63.0,13250,18.02,17.87,11.06
0.26,Fair,G,VVS2,63.4,67.2,1255,1.36,1.38,0.86
2.25,Ideal,G,VS2,62.7,55.2,9099,12.64,12.39,7.93
2.2,Premium,G,VS1,60.5,58.8,14736,10.5,10.66,6.35
0.59,Fair,I,IF,58.0,64.4,2646,2.94,2.97,1.71
1.1,Premium,H,VVS2,58.9,57.6,5882,5.68,5.62,3.35
1.13,Very Good,F,SI1,59.4,55.7,4527,4.83,4.89,2.87
3.03,Very Good,E,IF,63.4,66.8,7950,13.13,12.89,8.32
3.41,Very Good,E,SI1,56.1,66.2,18832,21.19,21.56,11.89
2.07,Premium,H,VVS2,62.4,51.1,5289,10.29,10.33,6.42
2.46,Very Good,E,SI2,58.2,65.5,14470,10.32,10.36,6.01
1.3,Very Good,D,SI1,56.8,55.2,7573,8.02,7.9,4.56
0.61,Premium,G,VVS2,58.0,52.3,3360,2.92,2.9,1.69
2.12,Good,I,VVS1,60.7,64.8,8338,9.07,8.95,5.51
0.64,Very Good,J,I1,57.5,58.1,4186,3.84,3.82,2.21
2.32,Premium,H,I1,60.4,59.4,12800,11.85,12.07,7.16
0.62,Premium,J,VS2,60.1,55.0,3783,3.93,3.91,2.36
3.19,Premium,G,I1,64.3,63.8,17356,20.04,20.2,12.89
3.11,Ideal,E,SI2,57.1,57.9,13514,19.0,19.31,10.85
3.14,Premium,D,VVS2,58.4,53.5,16325,16.93,16.63,9.89
2.37,Very Good,I,IF,57.6,65.7,13209,12.16,11.96,7.0
0.63,Very Good,F,IF,64.4,66.6,3012,3.53,3.46,2.27
3.19,Ideal,G,VVS1,58.1,65.2,11534,17.36,17.14,10.09
1.95,Premium,J,SI2,59.0,57.9,11123,8.32,8.22,4.91
0.27,Very Good,D,SI2,64.1,63.9,1177,1.63,1.62,1.04
3.06,Very Good,E,VS1,64.4,64.1,11048,16.33,16.23,10.52
3.42,Fair,D,IF,59.0,64.1,13981,14.93,14.73,8.81
1.07,Ideal,G,SI2,56.4,56.1,5324,4.82,4.8,2.72
0.26,Premium,E,VVS2,58.3,58.0,1443,1.8,1.8,1.05
1.41,Good,D,SI2,56.9,52.0,5508,9.42,9.29,5.36
2.31,Fair,I,VVS2,60.1,67.4,7510,11.1,11.11,6.67
1.74,Ideal,J,VS2,55.1,60.9,6938,10.99,10.88,6.06
0.78,Very Good,D,SI1,60.4,57.2,4564,4.56,4.49,2.75
2.33,Fair,E,SI2,56.2,55.6,8503,15.47,15.61,8.69
0.57,Premium,I,IF,55.3,50.2,3736,3.78,3.83,2.09
1.29,Ideal,D,VS2,59.2,50.6,8539,5.7,5.65,3.37
1.21,Ideal,J,SI1,57.1,52.8,6266,7.91,7.92,4.52
0.58,Ideal,I,VVS2,57.7,64.5,3705,3.08,3.02,1.78
0.59,Premium,E,SI1,59.8,65.3,3454,2.51,2.47,1.5
1.07,Ideal,G,VVS2,60.3,69.0,6670,6.97,7.08,4.2
3.08,Very Good,H,IF,60.2,67.7,20413,17.13,16.87,10.31
1.93,Ideal,H,IF,58.6,59.9,12174,10.11,10.19,5.92
3.25,Good,E,VS2,56.5,52.3,12139,16.1,16.21,9.1
0.6,Very Good,E,IF,57.1,62.4,3693,3.56,3.59,2.03
3.46,Fair,I,VVS1,64.0,52.3,13174,21.51,21.37,13.77
2.69,Good,G,SI1,61.2,54.7,11861,16.39,16.21,10.03
1.11,Premium,G,IF,58.3,59.6,3808,5.17,5.18,3.01
